Season	Gross($M)	Attendance	Playing weeks	New Productions	Mean ticket	Pct.sold	LogGross
1984	209 	7.26	1078	33	28.787879	0.04714286	2.3201463
1985	190 	6.54	1041	34	29.051988	0.04397695	2.2787536
1986	208 	7.04	1039	41	29.545455	0.04743022	2.3180633
1987	253 	8.14	1113	30	31.081081	0.05119497	2.4031205
1988	262 	7.96	1108	33	32.914573	0.05028881	2.4183013
1989	282 	8.04	1070	39	35.074627	0.05259813	2.4502491
1990	267 	7.32	976	30	36.475410	0.05250000	2.4265113
1991	293 	7.38	905	37	39.701897	0.05708287	2.4668676
1992	328 	7.86	1019	34	41.730280	0.05399411	2.5158738
1993	356 	8.11	1066	41	43.896424	0.05325516	2.5514500
1994	406 	9.04	1120	34	44.911504	0.05650000	2.6085260
1995	436 	9.47	1146	38	46.040127	0.05784468	2.6394865
1996	499 	10.57	1349	38	47.209082	0.05484804	2.6981005
1997	558 	11.48	1442	33	48.606272	0.05572816	2.7466342
1998	588 	11.67	1441	39	50.385604	0.05668980	2.7693773
1999	603 	11.39	1460	36	52.941176	0.05460959	2.7803173
2000	666 	11.9	1484	28	55.966387	0.05613208	2.8234742
2001	643 	10.95	1434	36	58.721461	0.05345188	2.8082110
2002	721 	11.42	1544	36	63.134851	0.05177461	2.8579353
2003	771 	11.61	1451	38	66.408269	0.05600965	2.8870544
2004	769 	11.53	1494	39	66.695577	0.05402276	2.8859263
2005	862 	12	1501	39	71.833333	0.05596269	2.9355073
2006	939 	12.31	1509	35	76.279448	0.05710404	2.9726656
2007	938 	12.27	1560	36	76.446618	0.05505769	2.9722028
2008	943 	12.15	1548	43	77.613169	0.05494186	2.9745117
2009	1020 	11.89	1464	39	85.786375	0.05685109	3.0086002
2010	1081 	12.53	1588	42	86.272945	0.05523300	3.0338257
2011	1139 	12.33	1522	41	92.376318	0.05670828	3.0565237
2012	1139 	11.57	1430	46	98.444252	0.05663636	3.0565237
2013	1269 	12.21	1496	44	103.93120	0.05713235	3.1034616
2014	1365 	13.1	1626	37	104.19847	0.05639606	3.1351327
2015	1373 	13.32	1648	39	103.07808	0.05657767	3.1376705
2016	1449 	13.27	1580	45	109.19367	0.05879114	3.1610684
